[2025-10-17--18-06-57 INFO actix_server::builder] starting 5 workers
[2025-10-17--18-06-57 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-10-17--18-06-57 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-10-17--18-06-57 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-10-17--18-06-59 INFO txtx::svm::deploy_program] Failure Recovery Info - An ephemeral authority account will be created and funded to write to the buffer account.
[2025-10-17--18-06-59 INFO txtx::svm::deploy_program] Failure Recovery Info - Please save the following information in case the deployment fails and the account needs to be recovered:
[2025-10-17--18-06-59 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority public key: CorEovaWcVR18LtD2ihmXNk7nVmJTsRs2FhnSKHbMCuB
[2025-10-17--18-06-59 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority secret key: PwkqcTjY9e3ZxTYwfVJHUG3sMSDs1ABjpvEYtyasd8a9NSjaYPLA36bUqcswPWK8GhGDYzN2hKNed6oMBnggg9j
[2025-10-17--18-07-00 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2025-10-17--18-07-00 INFO txtx::svm::deploy_program] Failure Recovery Info - Creating program buffer account at pubkey 29Dh2PA5uDsQWP7hgk8zPCGVoSKRF3NEGr9PKbZER9CT
[2025-10-17--18-07-00 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/5964-bac2686a39d63815.js HTTP/1.1" 200 44320 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.021823
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/4134-18351f2dad14e83e.js HTTP/1.1" 200 8465 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.008924
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 200 1748 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.000133
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/5870-03e2cad4338cc722.js HTTP/1.1" 200 27741 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.020599
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/page-98745aefd2b0f4af.js HTTP/1.1" 200 26018 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.006747
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/2604-8da7953088eba1e3.js HTTP/1.1" 200 101901 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.017421
[2025-10-17--18-07-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49192.
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 165 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.002658
[2025-10-17--18-07-33 INFO actix_web::middleware::logger] 127.0.0.1 "GET /subgraphs.txt?_rsc=3lb4g HTTP/1.1" 200 1663 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.001110
[2025-10-17--18-07-42 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/subgraphs/page-c6ba1cc5f0748823.js HTTP/1.1" 200 1436 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.000785
[2025-10-17--18-07-42 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 200 1748 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" 0.000255
[2025-10-17--18-07-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49207.
[2025-10-17--18-07-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49211.
[2025-10-17--18-26-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50139.
[2025-10-17--18-27-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50461.
[2025-10-17--18-27-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50465.
[2025-10-17--18-28-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50489.
[2025-10-17--18-28-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50777.
[2025-10-17--18-28-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50781.
